Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ERR022872_1	1.1335061835092701	0.8043363444931444
ERR022872_2	0.5611114540678094	0.2525533126187488
ERR022874_1	0.0	0.0
ERR022874_2	0.0	0.0
ERR022876_1	0.0	0.0
ERR022876_2	0.0	0.0
ERR022877_1	0.18381014938642504	0.4820416006017524
ERR022877_2	0.1923571722188068	0.7627005301808715
ERR022878_1	0.1937076097820324	0.7373596027070334
ERR022878_2	0.18566952597210692	0.8488671314028072
ERR022879_1	0.11004781823424177	0.0
ERR022879_2	0.15773087120904244	0.0
ERR022880_1	0.0	0.0
ERR022880_2	0.0	0.0
ERR022881_1	0.14467647713699938	0.10262341079659731
ERR022881_2	0.0	0.0
ERR022882_1	0.19961015698133325	0.27141859903568943
ERR022882_2	0.18944390655236706	0.3027649135512557
ERR022883_1	0.1182071024880139	0.0
ERR022883_2	0.0	0.0
ERR1674583_1	3.41610614778576	0.0
ERR1674583_2	0.0	0.0
ERR1674584_1	0.0	0.0
ERR1674584_2	0.0	0.0
ERR1674585_1	12.116569415311789	0.0
ERR1674585_2	0.0	0.0
ERR1674586_1	3.4229871911841436	0.0
ERR1674586_2	0.0	0.0
ERR1674587_1	0.0	0.0
ERR1674587_2	0.0	0.0
ERR1674588_1	12.139451449594965	0.0
ERR1674588_2	0.0	0.0
ERR1674589_1	1.4452568981903195	0.28950623791535923
ERR1674589_2	0.15896349170061322	0.10328283695739296
ERR1674590_1	0.3936003577408564	0.0
ERR1674590_2	0.0	0.0
ERR1674591_1	0.23153815336291267	0.0
ERR1674591_2	0.0	0.0
ERR1674592_1	0.20794634744310345	0.0
ERR1674592_2	0.0	0.0
ERR1674593_1	1.7044525057988522	0.3180742497180338
ERR1674593_2	0.0	0.0
ERR1674594_1	0.39541592853217344	0.0
ERR1674594_2	0.18385726480328787	0.0
ERR1674595_1	0.23228724476739926	0.0
ERR1674595_2	0.0	0.0
ERR1674596_1	0.526377779281008	0.20981238817026848
ERR1674596_2	0.0	0.0
ERR225719_1	0.0	0.0
ERR225719_2	0.0	0.0
ERR225720_1	0.17465261502638463	0.11935830170706263
ERR225720_2	0.0	0.0
ERR225721_1	0.0	0.0
ERR225721_2	0.20083651188696466	0.3144777180514144
ERR225722_1	0.4124365334854297	0.0
ERR225722_2	0.19160386173342078	0.0
ERR225723_1	0.0	0.0
ERR225723_2	0.0	0.0
ERR225724_1	0.22814294705183896	0.3849715254665221
ERR225724_2	0.5046458956199618	0.31308811264063385
ERR225725_1	0.27564346301132725	0.10097987976736295
ERR225725_2	0.0	0.0
ERR225726_1	0.27952426208955683	0.0
ERR225726_2	0.12021049387407604	0.0
ERR225727_1	0.2967480051181058	0.2189158358536198
ERR225727_2	0.10307478219945929	0.0
ERR225728_1	0.36811798863117784	0.10319965044458723
ERR225728_2	0.25876262537492983	0.12109416443197324
ERR225729_1	0.2308213409875694	0.15401816508358784
ERR225729_2	0.11208527829311633	0.10774064823527717
ERR225730_1	0.14786279858294374	0.0
ERR225730_2	0.27327334182433016	0.27156909681581365
ERR337915_1	0.0	0.0
ERR337915_2	0.0	0.0
ERR337928_1	0.0	0.0
ERR337928_2	0.0	0.0
ERR337940_1	0.0	0.0
ERR337940_2	0.0	0.0
ERR337952_1	0.0	0.0
ERR337952_2	0.0	0.0
ERR337964_1	0.0	0.0
ERR337964_2	0.0	0.0
ERR337976_1	0.0	0.0
ERR337976_2	0.0	0.0
ERR570498_1	0.0	0.0
ERR570498_2	0.0	0.0
ERR570522_1	0.0	0.0
ERR570522_2	0.0	0.0
ERR572959_1	0.0	0.0
ERR572959_2	0.0	0.0
ERR572983_1	0.0	0.0
ERR572983_2	0.0	0.0
ERR573001_1	0.0	0.0
ERR573001_2	0.0	0.0
ERR573016_1	0.1599143857474125	0.15440334506038828
ERR573016_2	0.0	0.0
ERR573025_1	0.0	0.0
ERR573025_2	0.0	0.0
ERR573040_1	0.0	0.0
ERR573040_2	0.0	0.0
ERR578141_1	0.0	0.0
ERR578141_2	0.0	0.0
ERR578154_1	0.0	0.0
ERR578154_2	0.0	0.0
ERR578165_1	0.0	0.0
ERR578165_2	0.0	0.0
ERR578178_1	0.0	0.0
ERR578178_2	0.0	0.0
