Sample	Unique Reads	Duplicate Reads
ERR022872_1	1802148.0	1113672.0
ERR022872_2	1872190.0	1043630.0
ERR022874_1	4055309.0	2625081.0
ERR022874_2	4218630.0	2461760.0
ERR022876_1	8925038.0	7015116.0
ERR022876_2	8822057.0	7118097.0
ERR022877_1	7814732.0	22698817.0
ERR022877_2	8189479.0	22324070.0
ERR022878_1	6357821.0	15189603.0
ERR022878_2	6559957.0	14987467.0
ERR022879_1	5233311.0	23986714.0
ERR022879_2	6345325.0	22874700.0
ERR022880_1	9253773.0	15964798.0
ERR022880_2	10330966.0	14887605.0
ERR022881_1	3069974.0	1811953.0
ERR022881_2	4751047.0	130880.0
ERR022882_1	8224600.0	13956636.0
ERR022882_2	8987197.0	13194039.0
ERR022883_1	3242114.0	1806652.0
ERR022883_2	5048716.0	50.0
ERR1674583_1	16638126.0	5032717.0
ERR1674583_2	17794477.0	3876366.0
ERR1674584_1	13170746.0	3244072.0
ERR1674584_2	13241357.0	3173461.0
ERR1674585_1	12796911.0	6566144.0
ERR1674585_2	15883146.0	3479909.0
ERR1674586_1	16672112.0	5017715.0
ERR1674586_2	17798311.0	3891516.0
ERR1674587_1	11951230.0	2804637.0
ERR1674587_2	11996052.0	2759815.0
ERR1674588_1	12800632.0	6575746.0
ERR1674588_2	15920618.0	3455760.0
ERR1674589_1	1076626.0	11586659.0
ERR1674589_2	1636386.0	11026899.0
ERR1674590_1	14347263.0	5555412.0
ERR1674590_2	14628397.0	5274278.0
ERR1674591_1	14730313.0	4344729.0
ERR1674591_2	14967960.0	4107082.0
ERR1674592_1	14519168.0	3986567.0
ERR1674592_2	14645048.0	3860687.0
ERR1674593_1	2414154.0	19133645.0
ERR1674593_2	3601982.0	17945817.0
ERR1674594_1	14487858.0	5706068.0
ERR1674594_2	14719144.0	5474782.0
ERR1674595_1	14908717.0	4438880.0
ERR1674595_2	15120056.0	4227541.0
ERR1674596_1	14562748.0	4226419.0
ERR1674596_2	14809503.0	3979664.0
ERR225719_1	5385422.0	1553855.0
ERR225719_2	5363054.0	1576223.0
ERR225720_1	5169592.0	1444108.0
ERR225720_2	5204362.0	1409338.0
ERR225721_1	7957231.0	2414887.0
ERR225721_2	7926454.0	2445664.0
ERR225722_1	8230021.0	2533332.0
ERR225722_2	8275219.0	2488134.0
ERR225723_1	6192497.0	1671160.0
ERR225723_2	6201631.0	1662026.0
ERR225724_1	8566572.0	2856091.0
ERR225724_2	8530488.0	2892175.0
ERR225725_1	9104950.0	2790489.0
ERR225725_2	9235481.0	2659958.0
ERR225726_1	5278168.0	1892587.0
ERR225726_2	5300278.0	1870477.0
ERR225727_1	8218610.0	2473627.0
ERR225727_2	8287593.0	2404644.0
ERR225728_1	4952460.0	1334383.0
ERR225728_2	4957642.0	1329201.0
ERR225729_1	7538272.0	2174868.0
ERR225729_2	7588663.0	2124477.0
ERR225730_1	5071434.0	1324360.0
ERR225730_2	5052869.0	1342925.0
ERR337915_1	4675692.0	854785.0
ERR337915_2	4705388.0	825089.0
ERR337928_1	1065396.0	259425.0
ERR337928_2	1072171.0	252650.0
ERR337940_1	4881824.0	945987.0
ERR337940_2	4917001.0	910810.0
ERR337952_1	15297073.0	3499844.0
ERR337952_2	15444827.0	3352090.0
ERR337964_1	14319562.0	3250267.0
ERR337964_2	14469691.0	3100138.0
ERR337976_1	302309.0	154230.0
ERR337976_2	306433.0	150106.0
ERR570498_1	5885584.0	1724968.0
ERR570498_2	6093953.0	1516599.0
ERR570522_1	5915394.0	1720889.0
ERR570522_2	6124198.0	1512085.0
ERR572959_1	5060174.0	1146349.0
ERR572959_2	5176550.0	1029973.0
ERR572983_1	1742336.0	367389.0
ERR572983_2	1789873.0	319852.0
ERR573001_1	3900408.0	1019646.0
ERR573001_2	3978614.0	941440.0
ERR573016_1	4973757.0	1395276.0
ERR573016_2	5070819.0	1298214.0
ERR573025_1	3876132.0	993374.0
ERR573025_2	3939492.0	930014.0
ERR573040_1	4942597.0	1361515.0
ERR573040_2	5022833.0	1281279.0
ERR578141_1	4555926.0	1281868.0
ERR578141_2	4680017.0	1157777.0
ERR578154_1	5866919.0	1661666.0
ERR578154_2	5970140.0	1558445.0
ERR578165_1	4612440.0	1267795.0
ERR578165_2	4736340.0	1143895.0
ERR578178_1	5963522.0	1639053.0
ERR578178_2	6063446.0	1539129.0
