Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR022872_1	ERR022872_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2915820.0	0.0	72-76	44.0	61.80586468101702	75.99858633248967	pass	pass	pass	pass	fail	pass	pass	warn	warn	fail	pass
ERR022872_2	ERR022872_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2915820.0	0.0	36-76	45.0	64.20799974036659	75.9880661357697	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
ERR022874_1	ERR022874_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	6680390.0	0.0	39-76	46.0	60.704662756912676	75.96743842799597	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
ERR022874_2	ERR022874_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	6680390.0	0.0	36-76	46.0	63.149450347935755	75.8774456281744	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
ERR022876_1	ERR022876_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	15940154.0	0.0	38-76	44.0	55.990911658933165	75.99645210454052	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
ERR022876_2	ERR022876_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	15940154.0	0.0	44-76	45.0	55.34486640123946	75.99824738205164	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
ERR022877_1	ERR022877_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	30513549.0	0.0	39-76	41.0	25.610694544023872	75.98940831169786	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR022877_2	ERR022877_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	30513549.0	0.0	36-76	41.0	26.83882543428781	75.98967307932617	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
ERR022878_1	ERR022878_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21547424.0	0.0	37-76	41.0	29.506172178754614	75.99294955164942	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR022878_2	ERR022878_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21547424.0	0.0	36-76	41.0	30.444274795956645	75.9907431162073	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR022879_1	ERR022879_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	29220025.0	0.0	36-76	38.0	17.910012692485623	75.98834590319481	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR022879_2	ERR022879_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	29220025.0	0.0	36-76	38.0	21.71567217726533	75.9718419474316	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR022880_1	ERR022880_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	25218571.0	0.0	36-76	38.0	36.69427716657401	75.98935693065242	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
ERR022880_2	ERR022880_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	25218571.0	0.0	36-76	38.0	40.96570363056733	75.95220208948398	pass	warn	fail	pass	fail	pass	pass	warn	fail	pass	pass
ERR022881_1	ERR022881_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	4881927.0	0.0	63-76	38.0	62.88447036219079	75.98809609402188	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
ERR022881_2	ERR022881_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	4881927.0	0.0	37-76	38.0	97.31908420847996	75.95419247358676	pass	warn	fail	pass	fail	pass	pass	warn	pass	pass	pass
ERR022882_1	ERR022882_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	22181236.0	0.0	42-76	37.0	37.07908417398971	75.9915262161225	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
ERR022882_2	ERR022882_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	22181236.0	0.0	36-76	37.0	40.51711134310581	75.9642220117941	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
ERR022883_1	ERR022883_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	5048766.0	0.0	42-76	37.0	64.21595193679632	75.9916225073612	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
ERR022883_2	ERR022883_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	5048766.0	0.0	36-76	38.0	99.99898999763042	75.96509939260406	pass	warn	fail	pass	fail	pass	pass	warn	pass	pass	pass
ERR1674583_1	ERR1674583_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21670843.0	0.0	70-100	38.0	76.77654892439375	99.99872603017796	pass	pass		pass	warn	pass	pass	warn	pass	fail	pass
ERR1674583_2	ERR1674583_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21670843.0	0.0	42-100	38.0	82.1125251884699	99.99478331322875	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674584_1	ERR1674584_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	16414818.0	0.0	70-100	37.0	80.23692901532614	99.99872139916508	pass	pass		pass	warn	pass	pass	warn	pass	pass	pass
ERR1674584_2	ERR1674584_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	16414818.0	0.0	42-100	38.0	80.66709428123941	99.99485623294757	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674585_1	ERR1674585_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19363055.0	0.0	70-100	38.0	66.08931673420034	99.99872478800478	pass	pass		pass	warn	fail	pass	warn	warn	fail	pass
ERR1674585_2	ERR1674585_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19363055.0	0.0	42-100	39.0	82.02809608636942	99.99494945399887	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674586_1	ERR1674586_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21689827.0	0.0	99-100	38.0	76.8660431394079	99.99886633489515	pass	pass		pass	warn	pass	pass	warn	pass	fail	pass
ERR1674586_2	ERR1674586_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21689827.0	0.0	47-100	38.0	82.05833209194722	99.9955804165704	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674587_1	ERR1674587_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	14755867.0	0.0	99-100	37.0	80.99306927425451	99.99887522705376	pass	pass		pass	warn	pass	pass	warn	pass	pass	pass
ERR1674587_2	ERR1674587_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	14755867.0	0.0	47-100	38.0	81.29682646866483	99.99619825795394	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674588_1	ERR1674588_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19376378.0	0.0	99-100	38.0	66.06307533360545	99.9988824020671	pass	pass		pass	warn	fail	pass	warn	warn	fail	pass
ERR1674588_2	ERR1674588_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19376378.0	0.0	47-100	39.0	82.16508708573697	99.99548605007602	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674589_1	ERR1674589_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	12663285.0	0.0	98-100	42.0	8.501941095295354	99.99861473543397	pass	pass		pass	warn	pass	pass	warn	fail	fail	pass
ERR1674589_2	ERR1674589_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	12663285.0	0.0	36-100	43.0	12.922283346269356	99.98812314498173	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
ERR1674590_1	ERR1674590_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19902675.0	0.0	98-100	43.0	72.08710784540801	99.99879940761731	pass	pass		pass	fail	pass	pass	warn	pass	warn	pass
ERR1674590_2	ERR1674590_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19902675.0	0.0	36-100	45.0	73.49965135150724	99.98739345339257	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
ERR1674591_1	ERR1674591_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19075042.0	0.0	99-100	42.0	77.22296275792011	99.99882768279095	pass	pass		pass	fail	pass	pass	warn	pass	warn	pass
ERR1674591_2	ERR1674591_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19075042.0	0.0	36-100	43.0	78.46881698249952	99.98737009333976	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674592_1	ERR1674592_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	18505735.0	0.0	98-100	41.0	78.45766423295423	99.99881852841835	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
ERR1674592_2	ERR1674592_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	18505735.0	0.0	36-100	43.0	79.13788565503603	99.98747058682079	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674593_1	ERR1674593_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21547799.0	0.0	98-100	41.0	11.203710546860565	99.99878428418606	pass	pass		pass	pass	pass	pass	warn	fail	fail	pass
ERR1674593_2	ERR1674593_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	21547799.0	0.0	46-100	43.0	16.71623702148599	99.98590788785435	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ERR1674594_1	ERR1674594_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	20193926.0	0.0	98-100	43.0	71.74364104121744	99.99878592206389	pass	pass		pass	fail	pass	pass	warn	pass	warn	pass
ERR1674594_2	ERR1674594_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	20193926.0	0.0	46-100	45.0	72.88896346318289	99.98622437261581	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
ERR1674595_1	ERR1674595_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19347597.0	0.0	98-100	42.0	77.05719820762725	99.99876858092506	pass	pass		pass	fail	pass	pass	warn	pass	warn	pass
ERR1674595_2	ERR1674595_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	19347597.0	0.0	46-100	43.0	78.14952453305219	99.98605604613327	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR1674596_1	ERR1674596_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	18789167.0	0.0	98-100	41.0	77.50608347247405	99.99877887082488	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
ERR1674596_2	ERR1674596_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	18789167.0	0.0	46-100	43.0	78.81936725367777	99.98626623521947	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
ERR225719_1	ERR225719_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	6939277.0	0.0	99-100	42.0	77.6078241642886	99.99804806754364	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
ERR225719_2	ERR225719_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	6939277.0	0.0	99-100	42.0	77.28547704346441	99.99949821861846	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
ERR225720_1	ERR225720_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	6613700.0	0.0	99-100	41.0	78.1648917383694	99.99820130940321	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
ERR225720_2	ERR225720_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	6613700.0	0.0	99-100	41.0	78.69061475390252	99.99953944085762	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
ERR225721_1	ERR225721_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	10372118.0	0.0	98-100	40.0	76.71750658649276	99.99818821960953	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
ERR225721_2	ERR225721_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	10372118.0	0.0	99-100	40.0	76.42078367215655	99.99952150563655	pass	warn		pass	fail	fail	pass	warn	pass	warn	pass
ERR225722_1	ERR225722_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	10763353.0	0.0	98-100	42.0	76.46335520446624	99.99819498626496	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
ERR225722_2	ERR225722_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	10763353.0	0.0	99-100	41.0	76.88328051359863	99.99951613591044	pass	warn		pass	fail	warn	pass	warn	pass	warn	pass
ERR225723_1	ERR225723_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	7863657.0	0.0	99-100	42.0	78.74830394457476	99.99821800467645	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
ERR225723_2	ERR225723_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	7863657.0	0.0	99-100	42.0	78.86446078869339	99.99952642898845	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
ERR225724_1	ERR225724_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	11422663.0	0.0	99-100	42.0	74.99627228038754	99.99823246120454	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass
ERR225724_2	ERR225724_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	11422663.0	0.0	99-100	42.0	74.68037721404693	99.99953644784934	pass	warn		pass	fail	warn	pass	warn	pass	warn	pass
ERR225725_1	ERR225725_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	11895439.0	0.0	99-100	44.0	76.54151808373257	99.99820805268305	pass	pass		pass	fail	pass	pass	warn	pass	warn	pass
