Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ERR022872_STAR_aln	2915820.0	151.0	1685398.0	57.8	150.55	776080.0	746024.0	767347.0	4338.0	201.0	4194.0	0.46	0.01	1.49	0.0	1.33	0.0	0.0	374721.0	12.85	0.0	22.51	6.83	0	656504	199197
ERR022874_STAR_aln	6680390.0	151.0	3538085.0	52.96	150.9	1462310.0	1386191.0	1448960.0	8327.0	600.0	4423.0	0.39	0.01	1.56	0.0	1.37	0.0	0.0	1126842.0	16.87	0.0	26.15	4.02	0	1746913	268550
ERR022876_STAR_aln	15940154.0	151.0	9152258.0	57.42	150.76	3681222.0	3482702.0	3647520.0	20966.0	1271.0	11465.0	0.22	0.01	1.68	0.0	1.39	0.0	0.0	2752611.0	17.27	0.0	21.66	3.66	0	3451986	583299
ERR022877_STAR_aln	30513549.0	151.0	22501021.0	73.74	151.43	9328748.0	8981359.0	9263688.0	48437.0	1322.0	15301.0	0.26	0.0	1.62	0.0	1.42	0.0	0.0	4065327.0	13.32	0.0	6.64	6.29	0	2027024	1920177
ERR022878_STAR_aln	21547424.0	151.0	15966219.0	74.1	151.5	7107607.0	6843226.0	7061513.0	33058.0	1138.0	11898.0	0.17	0.0	1.59	0.0	1.41	0.0	0.0	2928588.0	13.59	0.0	6.26	6.05	0	1348934	1303683
ERR022879_STAR_aln	29220025.0	151.0	19286009.0	66.0	150.36	6387986.0	6086733.0	6323174.0	42139.0	4888.0	17785.0	0.31	0.01	1.68	0.01	1.42	0.0	0.0	3419581.0	11.7	0.0	19.68	2.61	0	5751641	762794
ERR022880_STAR_aln	25218571.0	151.0	17357657.0	68.83	149.98	6411273.0	6179636.0	6348572.0	44186.0	1366.0	17149.0	0.61	0.01	1.68	0.01	1.44	0.0	0.0	2734639.0	10.84	0.0	16.82	3.51	0	4241217	885058
ERR022881_STAR_aln	4881927.0	151.0	3055327.0	62.58	149.29	1096565.0	1055745.0	1085730.0	7131.0	289.0	3415.0	1.25	0.01	1.74	0.01	1.44	0.0	0.0	590277.0	12.09	0.0	20.27	5.06	0	989351	246972
ERR022882_STAR_aln	22181236.0	151.0	12347022.0	55.66	148.27	4276479.0	4105520.0	4224023.0	28952.0	999.0	22505.0	0.43	0.01	1.74	0.01	1.44	0.0	0.0	2201971.0	9.93	0.0	30.74	3.67	0	6818226	814017
ERR022883_STAR_aln	5048766.0	151.0	3039156.0	60.2	149.06	1066004.0	1025536.0	1054406.0	7201.0	407.0	3990.0	0.81	0.01	1.76	0.01	1.44	0.0	0.0	473925.0	9.39	0.0	26.99	3.43	0	1362529	173156
ERR1674583_STAR_aln	21670843.0	199.0	16990907.0	78.4	199.07	10322534.0	9008430.0	10227131.0	56838.0	3224.0	35341.0	0.26	0.04	1.92	0.01	1.91	0.0	0.0	2652282.0	12.24	0.0	7.07	2.28	0	1533210	494444
ERR1674584_STAR_aln	16414818.0	199.0	13413303.0	81.71	199.12	8407034.0	7356426.0	8331661.0	46217.0	2537.0	26619.0	0.23	0.02	1.97	0.01	1.96	0.0	0.0	2035869.0	12.4	0.0	3.98	1.91	0	652508	313138
ERR1674585_STAR_aln	19363055.0	199.0	13436137.0	69.39	198.98	8501324.0	7407878.0	8424028.0	45332.0	2812.0	29152.0	0.25	0.03	1.97	0.01	1.98	0.0	0.0	2157711.0	11.14	0.0	16.9	2.57	0	3271679	497528
ERR1674586_STAR_aln	21689827.0	199.0	17007634.0	78.41	199.07	10326687.0	9015798.0	10232139.0	55800.0	3219.0	35529.0	0.26	0.04	1.92	0.01	1.92	0.0	0.0	2651857.0	12.23	0.0	7.08	2.28	0	1535767	494569
ERR1674587_STAR_aln	14755867.0	199.0	12185146.0	82.58	199.24	6159729.0	5456804.0	6103381.0	33852.0	2206.0	20290.0	0.22	0.02	1.95	0.01	1.92	0.0	0.0	1864372.0	12.63	0.0	2.87	1.92	0	423220	283129
ERR1674588_STAR_aln	19376378.0	199.0	13442697.0	69.38	198.99	8503597.0	7408554.0	8426997.0	44720.0	2790.0	29090.0	0.25	0.03	1.96	0.01	1.98	0.0	0.0	2158948.0	11.14	0.0	16.92	2.56	0	3278670	496063
ERR1674589_STAR_aln	12663285.0	199.0	2758568.0	21.78	199.19	1382078.0	1294637.0	1372639.0	5312.0	73.0	4054.0	0.29	0.02	1.57	0.01	1.73	0.0	0.0	1446902.0	11.43	0.0	59.87	6.92	0	7581515	876300
ERR1674590_STAR_aln	19902675.0	199.0	6070142.0	30.5	199.02	4195071.0	3845285.0	4154841.0	25997.0	1067.0	13166.0	0.32	0.05	1.68	0.01	1.49	0.0	0.0	1904124.0	9.57	0.0	52.81	7.12	0	10511251	1417158
ERR1674591_STAR_aln	19075042.0	199.0	5446507.0	28.55	198.96	4001225.0	3602699.0	3960414.0	26593.0	1102.0	13116.0	0.31	0.05	1.66	0.01	1.45	0.0	0.0	1136946.0	5.96	0.0	61.19	4.29	0	11673188	818401
ERR1674592_STAR_aln	18505735.0	199.0	3271620.0	17.68	198.99	2234490.0	2012035.0	2210302.0	16773.0	412.0	7003.0	0.32	0.05	1.58	0.01	1.5	0.0	0.0	773571.0	4.18	0.0	71.9	6.24	0	13305773	1154771
