Genes	monophyletic_group_code	Species
csin104442, csin111013	F33_CLN_G1	C. sinensis
csin111800, csin107628, csin112559, csin104248, csin105561	F62_CLN_G1	C. sinensis
csin109340, csin112280, csin108000, csin107009, csin112225	F82_CLN_G1	C. sinensis
csin112045, csin108631	F124_CLN_G1	C. sinensis
csin103192, csin103191	F199_CLN_G1	C. sinensis
csin101571, csin101572	F211_CLN_G1	C. sinensis
csin105470, csin107402, csin106489	F244_CLN_G1	C. sinensis
csin111903, csin100808	F325_CLN_G1	C. sinensis
csin113055, csin105433	F345_CLN_G1	C. sinensis
csin105639, csin105640	F398_CLN_G1	C. sinensis
csin101358, csin103484	F404_CLN_G1	C. sinensis
csin109445, csin112392, csin109448, csin109449	F450_CLN_G1	C. sinensis
csin104300, csin106032	F548_CLN_G1	C. sinensis
csin109049, csin112468, csin110968, csin106443	F553_CLN_G1	C. sinensis
csin103100, csin107514	F835_CLN_G1	C. sinensis
csin113347, csin111599, csin102763	F854_CLN_G1	C. sinensis
csin104235, csin113547	F991_CLN_G1	C. sinensis
csin111085, csin103768, csin104966	F1855_CLN_G1	C. sinensis
csin107551, csin104084, csin102301, csin105321, csin105320, csin109342	F1855_CLN_G2	C. sinensis
csin104398, csin100670, csin104345, csin101887, csin100389, csin103644, csin109045, csin102541, csin103615, csin102340, csin101217, csin101219, csin101764, csin103825, csin106263, csin104653, csin107191, csin104152, csin104909, csin103833, csin108054, csin104051, csin109037, csin109922, csin102321, csin108610, csin101153, csin102224, csin103981, csin103127, csin105089, csin101622	F1855_CLN_G3	C. sinensis
csin104515, csin112623	F1855_CLN_G4	C. sinensis
csin104859, csin112619, csin107317, csin104134, csin100774	F5592_CLN_G1	C. sinensis
csin102409, csin105054	F12360_CLN_G1	C. sinensis
csin109754, csin100397, csin105275	F12457_CLN_G1	C. sinensis
csin106174, csin110285, csin113070, csin103182, csin109939, csin113632, csin112693, csin112278, csin101238, csin109607, csin103414	F12565_CLN_G1	C. sinensis
csin104846, csin105859	F12692_CLN_G1	C. sinensis
csin112907, csin108319	F12769_CLN_G1	C. sinensis
csin100018, csin113345	F12771_CLN_G1	C. sinensis
csin111801, csin102960	F12779_CLN_G1	C. sinensis
csin105901, csin106363	F12812_CLN_G1	C. sinensis
csin111561, csin105483, csin101378, csin104197, csin105647, csin106391, csin100450, csin104146, csin108842, csin100573, csin105269, csin100608, csin102828, csin103530, csin107092, csin108347, csin107826, csin108612, csin109763, csin105179, csin100780, csin108758, csin112207	F12851_CLN_G1	C. sinensis
csin112557, csin113283, csin112787, csin110781, csin105078	F12893_CLN_G1	C. sinensis
csin110213, csin112252, csin106104, csin101950	F12895_CLN_G1	C. sinensis
csin101593, csin104646, csin100248	F13007_CLN_G1	C. sinensis
csin113134, csin113199, csin111238, csin113604, csin101424, csin111975, csin112190, csin109516, csin101864, csin100192, csin112087, csin104932	F13024_CLN_G1	C. sinensis
csin103610, csin104761	F13064_CLN_G1	C. sinensis
csin100992, csin107486	F13071_CLN_G1	C. sinensis
csin108808, csin103930, csin101278, csin112772	F13083_CLN_G1	C. sinensis
csin103488, csin109339	F13151_CLN_G1	C. sinensis
csin101077, csin111911	F13350_CLN_G1	C. sinensis
csin113316, csin111174	F13359_CLN_G1	C. sinensis
csin113242, csin101588	F13378_CLN_G1	C. sinensis
csin105090, csin113303	F13400_CLN_G1	C. sinensis
csin111572, csin112014, csin107390, csin109659, csin112281	F13409_CLN_G1	C. sinensis
csin110137, csin101703, csin101583	F13412_CLN_G1	C. sinensis
csin109470, csin100736, csin109887	F13517_CLN_G1	C. sinensis
csin104910, csin110714, csin106203	F13716_CLN_G1	C. sinensis
csin106770, csin108791, csin103292, csin111962, csin111146	F14028_CLN_G1	C. sinensis
csin112110, csin107746, csin111904, csin107391, csin109660	F14043_CLN_G1	C. sinensis
csin100635, csin105314, csin106302	F14081_CLN_G1	C. sinensis
csin113005, csin113007	F14287_CLN_G1	C. sinensis
csin103967, csin100039, csin108202, csin106730, csin100599, csin108021, csin107506, csin103810, csin100267, csin105603, csin112988, csin111196, csin107012, csin102253, csin106845, csin113191	F14288_CLN_G1	C. sinensis
csin105035, csin106389, csin108738	F14342_CLN_G1	C. sinensis
csin110064, csin110065	F14370_CLN_G1	C. sinensis
csin113043, csin103527, csin110262, csin111699, csin108364, csin107865, csin100737, csin107740, csin113556, csin102862, csin113196, csin103700, csin112361, csin106261, csin110025, csin104581, csin112062, csin112890, csin109033, csin113037, csin108982, csin109463, csin112318, csin107764	F14439_CLN_G1	C. sinensis
csin109988, csin108033, csin110433, csin110114	F14473_CLN_G1	C. sinensis
csin107175, csin112391, csin104347, csin106129	F14488_CLN_G1	C. sinensis
csin103521, csin104901, csin101060	F14699_CLN_G1	C. sinensis
csin107433, csin107087, csin102362, csin112748, csin101621, csin109912, csin105821, csin103493, csin104085, csin104827	F14974_CLN_G1	C. sinensis
csin104036, csin103103, csin106855, csin100156, csin101232, csin112853, csin105843, csin100030, csin102653, csin109313, csin102244	F15286_CLN_G1	C. sinensis
csin102492, csin109693	F15436_CLN_G1	C. sinensis
csin109812, csin108509, csin112670, csin112203, csin101376	F15589_CLN_G1	C. sinensis
csin106150, csin103123	F15654_CLN_G1	C. sinensis
csin113233, csin108025, csin106892	F15827_CLN_G1	C. sinensis
csin104887, csin100887, csin109281	F15864_CLN_G1	C. sinensis
csin108958, csin108957	F16145_CLN_G1	C. sinensis
csin111752, csin107284, csin107249, csin109247, csin107080, csin107942, csin100556, csin113582, csin106547	F17019_CLN_G1	C. sinensis
csin109866, csin102053, csin113313	F17418_CLN_G1	C. sinensis
csin100287, csin113194	F18047_CLN_G1	C. sinensis
csin104819, csin111069, csin106425	F18095_CLN_G1	C. sinensis
csin106594, csin100060, csin110512	F18204_CLN_G1	C. sinensis
csin103564, csin103563	F18208_CLN_G1	C. sinensis
csin105670, csin110557	F18666_CLN_G1	C. sinensis
csin111091, csin101805	F21619_CLN_G1	C. sinensis
csin113590, csin105663	F22178_CLN_G1	C. sinensis
csin107386, csin107505, csin104476	F22263_CLN_G1	C. sinensis
csin113340, csin113180	F22361_CLN_G1	C. sinensis
csin100749, csin102455, csin106651, csin109221	F22402_CLN_G1	C. sinensis
csin106779, csin106395	F22418_CLN_G1	C. sinensis
csin112956, csin104903, csin106913	F22422_CLN_G1	C. sinensis
csin101434, csin101352, csin106044	F22444_CLN_G1	C. sinensis
csin104639, csin100847, csin113172, csin109471	F22530_CLN_G1	C. sinensis
csin109066, csin101533, csin110763, csin105441	F22531_CLN_G1	C. sinensis
csin103278, csin105024	F22538_CLN_G1	C. sinensis
csin112224, csin102447	F22541_CLN_G1	C. sinensis
csin113219, csin109164, csin106457	F22604_CLN_G1	C. sinensis
csin106711, csin111392, csin113618, csin112634	F22666_CLN_G1	C. sinensis
csin109800, csin111426	F22671_CLN_G1	C. sinensis
csin101657, csin106707	F22673_CLN_G1	C. sinensis
csin103450, csin102575	F22675_CLN_G1	C. sinensis
csin110038, csin112543, csin101803, csin113580, csin111293	F22678_CLN_G1	C. sinensis
csin104113, csin112049, csin106829, csin110730, csin105355, csin107008	F22683_CLN_G1	C. sinensis
csin108201, csin108279, csin112837	F22687_CLN_G1	C. sinensis
csin100592, csin104722, csin106239, csin104059	F22701_CLN_G1	C. sinensis
csin105274, csin105153, csin102952	F22703_CLN_G1	C. sinensis
csin100848, csin109411	F22707_CLN_G1	C. sinensis
csin109016, csin102238	F22708_CLN_G1	C. sinensis
csin108047, csin108045, csin108046	F22719_CLN_G1	C. sinensis
csin110315, csin108355	F22720_CLN_G1	C. sinensis
csin106507, csin107672, csin107780, csin100444, csin110128	F22813_CLN_G1	C. sinensis
csin102098, csin102095	F22850_CLN_G1	C. sinensis
csin105981, csin110705	F22855_CLN_G1	C. sinensis
csin101455, csin112507, csin104383	F22937_CLN_G1	C. sinensis
csin108719, csin112258	F22996_CLN_G1	C. sinensis
csin103599, csin110902, csin112643	F23034_CLN_G1	C. sinensis
csin108687, csin108647	F23035_CLN_G1	C. sinensis
csin107641, csin107642	F23038_CLN_G1	C. sinensis
csin100471, csin110795, csin103139, csin107121, csin112687, csin113546, csin113352, csin108020	F23043_CLN_G1	C. sinensis
csin111092, csin111093, csin113389, csin113008	F23055_CLN_G1	C. sinensis
csin110322, csin113294	F23056_CLN_G1	C. sinensis
csin101152, csin109282, csin109026, csin113117, csin105568, csin102148, csin113159, csin104422, csin106866, csin108796, csin105573, csin108409, csin100936, csin107342, csin102123	F23092_CLN_G1	C. sinensis
csin113311, csin111081, csin113275	F23102_CLN_G1	C. sinensis
csin105559, csin106485	F23143_CLN_G1	C. sinensis
csin111834, csin113315	F23148_CLN_G1	C. sinensis
csin110914, csin110340, csin106918	F23181_CLN_G1	C. sinensis
csin112438, csin112834	F23198_CLN_G1	C. sinensis
csin105554, csin100154, csin102867, csin109364, csin107500, csin105253, csin112388, csin100953, csin102065, csin105583, csin112178	F23211_CLN_G1	C. sinensis
csin112434, csin112435	F23231_CLN_G1	C. sinensis
csin105676, csin105677	F23235_CLN_G1	C. sinensis
csin102391, csin109602	F23372_CLN_G1	C. sinensis
csin101147, csin107280, csin104756	F23469_CLN_G1	C. sinensis
csin110186, csin110378	F23501_CLN_G1	C. sinensis
csin107798, csin107797	F23623_CLN_G1	C. sinensis
csin102414, csin102413	F23801_CLN_G1	C. sinensis
csin110275, csin109382	F23828_CLN_G1	C. sinensis
csin103408, csin103407	F23911_CLN_G1	C. sinensis
csin110947, csin105509	F24019_CLN_G1	C. sinensis
csin103213, csin100439, csin106229, csin113101, csin110293, csin109948, csin107272, csin108967	F24144_CLN_G1	C. sinensis
csin100669, csin102540, csin107842, csin100155, csin102357, csin108053	F24162_CLN_G1	C. sinensis
csin103394, csin108887	F24234_CLN_G1	C. sinensis
csin112506, csin112510	F24270_CLN_G1	C. sinensis
csin111084, csin112707	F24282_CLN_G1	C. sinensis
csin110073, csin106514	F24333_CLN_G1	C. sinensis
csin104260, csin104220	F24408_CLN_G1	C. sinensis
csin102808, csin105780	F24491_CLN_G1	C. sinensis
csin102173, csin102171	F24495_CLN_G1	C. sinensis
csin107575, csin107574	F24584_CLN_G1	C. sinensis
csin103565, csin103566	F24630_CLN_G1	C. sinensis
csin109410, csin110174, csin111549	F24640_CLN_G1	C. sinensis
csin111250, csin111249	F24711_CLN_G1	C. sinensis
csin104401, csin103068	F24752_CLN_G1	C. sinensis
csin103520, csin106266, csin106600	F24855_CLN_G1	C. sinensis
DILT_0000001101, DILT_0000216001	F513_DPY_G1	D. latum
DILT_0001429901, DILT_0000009001	F525_DPY_G1	D. latum
DILT_0000079601, DILT_0001557101, DILT_0001913301, DILT_0000009601	F531_DPY_G1	D. latum
DILT_0000009901, DILT_0000906201	F535_DPY_G1	D. latum
DILT_0000010301, DILT_0001749701, DILT_0001609201	F537_DPY_G1	D. latum
DILT_0000011501, DILT_0000194901	F540_DPY_G1	D. latum
DILT_0000013001, DILT_0000171701	F541_DPY_G1	D. latum
DILT_0000761501, DILT_0001993601, DILT_0000019801, DILT_0001783801	F557_DPY_G1	D. latum
DILT_0000151301, DILT_0000023101	F565_DPY_G1	D. latum
DILT_0000029901, DILT_0000092501, DILT_0000401301, DILT_0001416001, DILT_0001352101, DILT_0001182701, DILT_0001396901	F585_DPY_G1	D. latum
DILT_0000030301, DILT_0001923801, DILT_0000898701, DILT_0000980401, DILT_0000882001	F588_DPY_G1	D. latum
DILT_0001988601, DILT_0000032901	F594_DPY_G1	D. latum
DILT_0000033301, DILT_0000341301	F595_DPY_G1	D. latum
DILT_0000034001, DILT_0000606301	F596_DPY_G1	D. latum
DILT_0001438801, DILT_0000034401	F599_DPY_G1	D. latum
DILT_0000546501, DILT_0000035101	F600_DPY_G1	D. latum
DILT_0000036701, DILT_0000037801	F604_DPY_G1	D. latum
DILT_0000040501, DILT_0001089801	F619_DPY_G1	D. latum
DILT_0001615701, DILT_0000041701, DILT_0001918001, DILT_0000311201	F623_DPY_G1	D. latum
DILT_0000054101, DILT_0001134901	F695_DPY_G1	D. latum
DILT_0000057801, DILT_0000136501	F720_DPY_G1	D. latum
DILT_0000065901, DILT_0001722701	F756_DPY_G1	D. latum
DILT_0001362101, DILT_0000066001	F757_DPY_G1	D. latum
DILT_0000570401, DILT_0000067601	F766_DPY_G1	D. latum
DILT_0000069301, DILT_0000334001	F768_DPY_G1	D. latum
DILT_0000071601, DILT_0000079801	F771_DPY_G1	D. latum
DILT_0000071901, DILT_0001423301	F773_DPY_G1	D. latum
DILT_0001389801, DILT_0000073701	F776_DPY_G1	D. latum
DILT_0000192801, DILT_0000143901, DILT_0001112401	F778_DPY_G1	D. latum
DILT_0000074801, DILT_0000847901, DILT_0001703501, DILT_0000544501	F779_DPY_G1	D. latum
DILT_0000075401, DILT_0001715701	F781_DPY_G1	D. latum
DILT_0001820301, DILT_0000077601	F786_DPY_G1	D. latum
DILT_0000081501, DILT_0001737601	F793_DPY_G1	D. latum
DILT_0001300001, DILT_0001863101, DILT_0000086501	F805_DPY_G1	D. latum
DILT_0000087001, DILT_0000283801	F806_DPY_G1	D. latum
DILT_0000937101, DILT_0000087501, DILT_0001797201, DILT_0000571301	F807_DPY_G1	D. latum
DILT_0001725601, DILT_0000092101	F813_DPY_G1	D. latum
DILT_0001386601, DILT_0000092601	F815_DPY_G1	D. latum
DILT_0000094901, DILT_0001435401	F817_DPY_G1	D. latum
DILT_0001147201, DILT_0000096901, DILT_0000972001	F821_DPY_G1	D. latum
DILT_0000173701, DILT_0000097501	F826_DPY_G1	D. latum
DILT_0001421701, DILT_0000258601, DILT_0000099201	F831_DPY_G1	D. latum
DILT_0000123901, DILT_0001701101, DILT_0000099401	F832_DPY_G1	D. latum
DILT_0001500701, DILT_0000101201	F837_DPY_G1	D. latum
DILT_0000101301, DILT_0000312701	F838_DPY_G1	D. latum
DILT_0000104601, DILT_0000156201	F846_DPY_G1	D. latum
DILT_0000697801, DILT_0000106101	F852_DPY_G1	D. latum
DILT_0000433601, DILT_0001619301, DILT_0000109701, DILT_0001172101	F861_DPY_G1	D. latum
DILT_0001635601, DILT_0000111101	F863_DPY_G1	D. latum
DILT_0000111301, DILT_0001913701	F864_DPY_G1	D. latum
DILT_0000122101, DILT_0001064701	F883_DPY_G1	D. latum
DILT_0000127801, DILT_0001598701	F897_DPY_G1	D. latum
DILT_0000136301, DILT_0001398801	F925_DPY_G1	D. latum
DILT_0000137301, DILT_0000725701, DILT_0000508301	F929_DPY_G1	D. latum
DILT_0001375001, DILT_0000970201, DILT_0000137501, DILT_0001236201, DILT_0001613301	F930_DPY_G1	D. latum
DILT_0001877401, DILT_0000138301	F932_DPY_G1	D. latum
DILT_0001754501, DILT_0000140701	F942_DPY_G1	D. latum
DILT_0000141401, DILT_0000671501	F946_DPY_G1	D. latum
DILT_0000141801, DILT_0001769601	F947_DPY_G1	D. latum
DILT_0000923801, DILT_0000146101	F960_DPY_G1	D. latum
